nome,elo,hard,clay,grass,age,tour
Jannik Sinner,2339.5,2273.1,2241.8,2098.2,24,atp
Carlos Alcaraz,2271.8,2198.3,2211.6,2139.2,22,atp
Alexander Zverev,2078.8,2031.0,2021.3,1894.3,29,atp
Novak Djokovic,2068.8,2026.4,1969.4,1929.7,38,atp
Arthur Fils,2020.6,1949.7,1955.1,1796.4,21,atp
Daniil Medvedev,2007.9,1977.6,1921.9,1883.0,30,atp
Rafael Jodar,1983.2,1865.0,1935.1,1691.6,19,atp
Casper Ruud,1972.8,1883.5,1970.4,1709.6,27,atp
Felix Auger Aliassime,1970.5,1938.5,1857.7,1786.5,25,atp
Lorenzo Musetti,1968.8,1903.5,1952.6,1850.4,24,atp
Alex De Minaur,1967.9,1939.0,1859.3,1819.9,27,atp
Ben Shelton,1953.1,1918.0,1858.8,1792.2,23,atp
Jiri Lehecka,1946.9,1894.8,1848.0,1805.9,24,atp
Alexander Bublik,1920.1,1852.1,1857.5,1829.1,28,atp
Tommy Paul,1918.1,1866.0,1856.5,1756.4,28,atp
Learner Tien,1913.3,1890.4,1685.1,1698.9,20,atp
Jakub Mensik,1912.5,1883.4,1789.4,1717.5,20,atp
Joao Fonseca,1910.0,1905.0,1808.1,1696.2,19,atp
Francisco Cerundolo,1908.9,1869.0,1872.1,1676.7,27,atp
Jack Draper,1907.8,1875.2,1789.4,1741.3,24,atp
Andrey Rublev,1904.6,1849.7,1868.1,1801.8,28,atp
Valentin Vacherot,1901.6,1851.7,1786.7,1604.7,27,atp
Raphael Collignon,1900.1,1840.1,1814.1,1647.5,24,atp
Alexander Blockx,1899.0,1789.8,1863.6,1694.5,21,atp
Flavio Cobolli,1880.0,1801.5,1847.5,1752.2,23,atp
Alejandro Davidovich Fokina,1879.7,1835.6,1812.8,1717.6,26,atp
Frances Tiafoe,1876.6,1840.7,1802.1,1739.1,28,atp
Taylor Fritz,1875.4,1819.2,1767.7,1809.3,28,atp
Dino Prizmic,1869.1,1747.3,1828.3,1630.7,20,atp
Tomas Machac,1862.2,1827.4,1777.2,1704.0,25,atp
Cameron Norrie,1861.5,1805.4,1823.3,1751.5,30,atp
Ugo Humbert,1851.7,1835.3,1721.5,1711.9,27,atp
Stefanos Tsitsipas,1850.6,1811.3,1866.8,1699.3,27,atp
Karen Khachanov,1849.3,1793.5,1808.8,1752.8,29,atp
Tomas Martin Etcheverry,1849.2,1784.3,1795.3,1604.0,26,atp
Alejandro Tabilo,1842.3,1761.4,1793.4,1719.6,28,atp
Hamad Medjedovic,1840.5,1744.2,1814.1,1653.0,22,atp
Luciano Darderi,1839.1,1680.6,1846.4,1620.7,24,atp
Tallon Griekspoor,1823.2,1793.5,1748.6,1768.7,29,atp
Gael Monfils,1815.2,1789.4,1699.0,1657.7,39,atp
Marin Cilic,1811.0,1766.8,1718.6,1776.3,37,atp
Eliot Spizzirri,1810.3,1772.1,1596.1,1637.2,24,atp
Sebastian Korda,1808.6,1765.0,1669.9,1679.0,25,atp
Hubert Hurkacz,1808.0,1731.4,1769.6,1720.9,29,atp
Yibing Wu,1806.1,1772.4,1698.1,1589.6,26,atp
