date,tournament,type,player1,player2,bet_type,handicap,odds_decimal,odds_american,esito
2026-04-15,WTA Stuttgart,Doubles,Fernandez L / Stollar F,Melichar-Martinez N / Samsonova L,ML,,2.35,+135,
2026-04-15,ATP Barcelona,Doubles,Pavlasek A / Rikl P,Harrison C / Skupski N,ML,,3.15,+215,
2026-04-15,ATP Barcelona,Singles,Rublev Andrey,Sonego Lorenzo,ML,,1.3,-333,
2026-04-15,ATP Barcelona,Singles,Rublev Andrey,Sonego Lorenzo,Handicap Games,-3.5,1.8,-125,
2026-04-15,ATP Barcelona,Singles,Rublev Andrey,Sonego Lorenzo,Handicap Sets,-1.5,1.89,-112,
2026-04-15,ATP Munich,Doubles,Johnson L / Zielinski J,Erler A / Miedler L,ML,,2.25,+125,
2026-04-15,ATP Barcelona,Doubles,Gonzalez M / Molteni A,Granollers M / Martinez P,ML,,2.4,+140,
2026-04-15,ATP Munich,Singles,Blockx Alexander,Shelton Ben,ML,,2.55,+155,
2026-04-15,ATP Munich,Singles,Blockx Alexander,Shelton Ben,Handicap Games,+2.5,1.89,-112,
2026-04-15,ATP Munich,Singles,Blockx Alexander,Shelton Ben,Handicap Sets,+1.5,1.57,-175,
2026-04-15,WTA 125k Oeiras,Singles,Lamens Suzan,Lee Carol Young Suh,ML,,1.62,-161,
2026-04-15,WTA 125k Oeiras,Singles,Lamens Suzan,Lee Carol Young Suh,Handicap Games,-2.5,1.9,-111,
2026-04-15,WTA 125k Oeiras,Singles,Sramkova Rebecca,Erjavec Veronika,ML,,1.83,-120,
2026-04-15,WTA 125k Oeiras,Singles,Sramkova Rebecca,Erjavec Veronika,Handicap Games,-0.5,1.88,-114,
2026-04-15,ATP Munich,Doubles,Melo M / Zverev A,Doumbia S / Reboul F,ML,,2.25,+125,
2026-04-15,ATP Challenger Wuning,Singles,Wang Aoran,Sultanov Khumoyun,ML,,5.5,+450,
2026-04-15,ATP Challenger Wuning,Singles,Wang Aoran,Sultanov Khumoyun,Handicap Games,+4.5,2.36,+136,
2026-04-15,ATP Challenger Wuning,Singles,Wang Aoran,Sultanov Khumoyun,Handicap Games,+5.5,1.62,-161,
2026-04-15,WTA 125k Oeiras,Doubles,Kraus S / Teichmann J,Kostovic T / Pridankina E,ML,,2.32,+132,
2026-04-15,ATP Challenger Tallahassee,Singles,Tabur Clement,Gueymard Wayenburg Sascha,ML,,1.68,-147,
2026-04-15,ATP Challenger Tallahassee,Singles,Tabur Clement,Gueymard Wayenburg Sascha,Handicap Games,-1.5,1.85,-118,
2026-04-15,ATP Challenger Tallahassee,Singles,Glinka Daniil,Dostanic Stefan,ML,,2.6,+160,
2026-04-15,ATP Challenger Tallahassee,Singles,Glinka Daniil,Dostanic Stefan,Handicap Games,+3.5,1.8,-125,
2026-04-15,ATP Challenger Tallahassee,Singles,Langmo Christian,Martin Andres,ML,,2.1,+110,
2026-04-15,ATP Challenger Tallahassee,Singles,Langmo Christian,Martin Andres,Handicap Games,+1.5,1.88,-114,
2026-04-15,ATP Challenger Tallahassee,Singles,Galan Daniel Elahi,Blanch Darwin,ML,,2.85,,
2026-04-15,ATP Challenger Santa Cruz,Singles,de la Fuente Santiago,Villalon Valdes Nicolas,ML,,1.8,-125,
2026-04-15,ATP Challenger Santa Cruz,Singles,de la Fuente Santiago,Villalon Valdes Nicolas,Handicap Games,-1.5,1.97,-103,
2026-04-15,WTA Stuttgart,Singles,Muchova Karolina,Sasnovich Aliaksandra,ML,,1.3,-333,
2026-04-15,WTA Stuttgart,Singles,Muchova Karolina,Sasnovich Aliaksandra,Handicap Games,-4.5,1.95,-105,
2026-04-15,WTA Stuttgart,Singles,Muchova Karolina,Sasnovich Aliaksandra,Handicap Sets,-1.5,1.88,-114,
2026-04-15,WTA Rouen,Singles,Oliynykova Oleksandra,Tagger Lilli,ML,,2.2,+120,
2026-04-15,WTA Rouen,Singles,Oliynykova Oleksandra,Tagger Lilli,Handicap Games,+2.5,1.84,-119,
2026-04-15,WTA Rouen,Singles,Oliynykova Oleksandra,Tagger Lilli,Handicap Sets,+1.5,1.53,-189,
2026-04-15,WTA Rouen,Singles,Li Ann,Kasatkina Daria,ML,,2.05,+105,
2026-04-15,WTA Rouen,Singles,Li Ann,Kasatkina Daria,Handicap Games,+1.5,1.86,-116,
2026-04-15,WTA Rouen,Singles,Li Ann,Kasatkina Daria,Handicap Sets,+1.5,1.44,-227,
2026-04-15,ATP Munich,Singles,Shapovalov Denis,Griekspoor Tallon,ML,,2.25,+125,
2026-04-15,ATP Munich,Singles,Shapovalov Denis,Griekspoor Tallon,Handicap Games,+2.5,1.77,-130,
2026-04-15,ATP Barcelona,Singles,Mannarino Adrian,Borges Nuno,Handicap Games,+4.5,1.89,,
2026-04-15,ATP Barcelona,Singles,Vacherot Valentin,Atmane Terence,ML,,1.43,-233,
2026-04-15,ATP Barcelona,Singles,Vacherot Valentin,Atmane Terence,Handicap Games,-2.5,1.76,-132,
2026-04-15,ATP Barcelona,Singles,Vacherot Valentin,Atmane Terence,Handicap Sets,-1.5,2.18,+118,
2026-04-15,ATP Barcelona,Singles,Munar Jaume,Jodar Rafael,ML,,3.1,+210,
2026-04-15,ATP Barcelona,Singles,Munar Jaume,Jodar Rafael,Handicap Games,+3.5,2.05,+105,
2026-04-15,ATP Barcelona,Singles,Munar Jaume,Jodar Rafael,Handicap Games,+4.5,1.7,-143,
2026-04-15,ATP Barcelona,Singles,Munar Jaume,Jodar Rafael,Handicap Sets,+1.5,1.85,-118,
2026-04-15,ATP Barcelona Qualifiers,Singles,de Jong Jesper,Cerundolo Juan Manuel,ML,,2.43,+143,
2026-04-15,ATP Barcelona Qualifiers,Singles,de Jong Jesper,Cerundolo Juan Manuel,Handicap Games,+2.5,1.87,-115,
2026-04-15,ATP Barcelona Qualifiers,Singles,de Jong Jesper,Cerundolo Juan Manuel,Handicap Sets,+1.5,1.53,-189,
2026-04-15,ATP Challenger Monza,Singles,Prizmic Dino,Royer Valentin,ML,,1.58,-172,
2026-04-15,ATP Challenger Monza,Singles,Prizmic Dino,Royer Valentin,Handicap Games,-2.5,1.89,-112,
2026-04-15,ATP Challenger Monza,Singles,Gaston Hugo,Landaluce Martin,ML,,2.33,+133,
2026-04-15,ATP Challenger Monza,Singles,Gaston Hugo,Landaluce Martin,Handicap Games,+2.5,1.89,-112,
2026-04-15,ATP Challenger Sarasota,Singles,Andrade Andres,Glinka Daniil,ML,,1.8,-125,
2026-04-15,ATP Challenger Sarasota,Singles,Andrade Andres,Glinka Daniil,Handicap Games,-0.5,1.86,-116,
2026-04-15,ATP Challenger Sarasota,Singles,Dostanic Stefan,Basavareddy Nishesh,ML,,3.5,+250,
2026-04-15,ATP Challenger Sarasota,Singles,Dostanic Stefan,Basavareddy Nishesh,Handicap Games,+4.5,1.78,-128,
2026-04-15,WTA Linz,Doubles,Kato M / Samsonova L,Cirstea S / Zhang S,ML,,2.75,+175,
2026-04-09,ATP Monte Carlo,Singles,Auger Aliassime Felix,Ruud Casper,ML,,2.21,+121,
2026-04-09,ATP Monte Carlo,Singles,Auger Aliassime Felix,Ruud Casper,Handicap Games,+2.5,1.8,-125,
2026-04-09,ATP Monte Carlo,Singles,Auger Aliassime Felix,Ruud Casper,Handicap Sets,+1.5,1.49,-204,
2026-04-09,ATP Challenger Madrid,Singles,Stricker Dominic,Jarry Nicolas,ML,,2.08,+108,
2026-04-09,ATP Challenger Madrid,Singles,Stricker Dominic,Jarry Nicolas,Handicap Games,+1.5,1.85,-118,
2026-04-09,ATP Challenger Madrid,Singles,Fatic Nerman,Agamenone Franco,ML,,1.7,-143,
