tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2025-9900,United Cup,Hard,18.0,A,O,20241229,1.0,CD85,,,Pablo Carreno Busta,R,188.0,ESP,33.467,196.0,292.0,S0H2,,,Alexander Shevchenko,R,188.0,KAZ,24.082,78.0,715.0,6-2 6-1,3,RR,64.0,3.0,0.0,40.0,27.0,21.0,9.0,8.0,1.0,2.0,3.0,4.0,42.0,24.0,14.0,4.0,7.0,2.0,7.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,2.0,Z371,,,Zhizhen Zhang,R,193.0,CHN,28.203,45.0,1155.0,MJ08,,,Thiago Monteiro,L,183.0,BRA,30.582,109.0,566.0,6-3 6-0,3,RR,54.0,10.0,0.0,39.0,30.0,26.0,7.0,8.0,0.0,0.0,3.0,2.0,35.0,22.0,13.0,3.0,7.0,1.0,5.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,3.0,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,26.382,11.0,3165.0,CD85,,,Pablo Carreno Busta,R,188.0,ESP,33.467,196.0,292.0,6-4 4-6 6-3,3,RR,128.0,13.0,6.0,84.0,49.0,40.0,19.0,15.0,1.0,3.0,2.0,3.0,92.0,70.0,48.0,9.0,14.0,6.0,9.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,4.0,CG80,,,Borna Coric,R,188.0,CRO,28.123,90.0,639.0,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,24.392,29.0,1635.0,0-6 6-4 6-4,3,RR,139.0,1.0,6.0,81.0,40.0,26.0,17.0,13.0,5.0,10.0,13.0,3.0,90.0,67.0,43.0,11.0,13.0,8.0,12.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,5.0,HH26,,,Ugo Humbert,L,188.0,FRA,26.511,14.0,2765.0,S0LA,,,Dominic Stricker,L,183.0,SUI,22.371,299.0,173.0,6-3 7-5,3,RR,72.0,10.0,2.0,51.0,34.0,30.0,10.0,11.0,0.0,1.0,10.0,1.0,56.0,34.0,27.0,10.0,10.0,1.0,4.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,6.0,DH58,,,Alex de Minaur,R,183.0,AUS,25.864,9.0,3745.0,EA24,,,Tomas Martin Etcheverry,R,196.0,ARG,25.451,39.0,1315.0,6-1 6-4,3,RR,76.0,8.0,2.0,51.0,26.0,23.0,15.0,9.0,0.0,0.0,2.0,1.0,47.0,28.0,20.0,7.0,8.0,3.0,6.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,7.0,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,24.392,29.0,1635.0,FB98,,,Taylor Fritz,R,196.0,USA,27.17,4.0,5100.0,4-6 7-5 6-3,3,RR,139.0,19.0,4.0,89.0,59.0,47.0,15.0,16.0,2.0,4.0,13.0,1.0,92.0,58.0,42.0,16.0,15.0,1.0,4.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,8.0,C0E9,,,Flavio Cobolli,R,183.0,ITA,22.65,32.0,1472.0,S0LA,,,Dominic Stricker,L,183.0,SUI,22.371,299.0,173.0,6-3 7-6(2),3,RR,89.0,5.0,3.0,67.0,36.0,27.0,22.0,10.0,5.0,5.0,6.0,0.0,62.0,45.0,33.0,7.0,11.0,0.0,2.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,9.0,RH16,,,Casper Ruud,R,183.0,NOR,26.021,6.0,4255.0,M0FH,,,Tomas Machac,R,183.0,CZE,24.211,25.0,1758.0,7-6(6) 5-7 6-4,3,RR,174.0,12.0,6.0,116.0,75.0,56.0,19.0,17.0,6.0,9.0,7.0,13.0,111.0,70.0,50.0,17.0,17.0,2.0,5.0
2025-9900,United Cup,Hard,18.0,A,O,20241229,10.0,Z355,,,Alexander Zverev,R,198.0,GER,27.693,2.0,7915.0,MJ08,,,Thiago Monteiro,L,183.0,BRA,30.582,109.0,566.0,6-4 6-4,3,RR,77.0,11.0,3.0,51.0,32.0,29.0,11.0,10.0,0.0,0.0,5.0,1.0,53.0,32.0,24.0,11.0,10.0,2.0,4.0
