tourney_date,tourney_name,surface,winner_name,loser_name
20260307,Indian Wells,Hard,Djokovic N.,Majchrzak K.
20260307,Indian Wells,Hard,Swiatek I.,Day K.
20260307,Indian Wells,Hard,Kartal S.,Navarro E.
20260307,Indian Wells,Hard,Ostapenko J.,Volynets K.
20260307,Indian Wells,Hard,Bencic B.,Hunter S.
20260307,Indian Wells,Hard,Sakkari M.,Tagger L.
20260307,Indian Wells,Hard,Muchova K.,Bondar A.
20260307,Indian Wells,Hard,Krueger A.,Samsonova L.
20260307,Indian Wells,Hard,Rybakina E.,Baptiste H.
20260307,Indian Wells,Hard,Anisimova A.,Blinkova A.
20260307,Indian Wells,Hard,Osorio C.,Jovic I.
20260307,Indian Wells,Hard,Osaka N.,Jimenez Kasintseva V.
20260307,Indian Wells,Hard,Cristian J.,Joint M.
20260307,Antalya 2 WTA,Hard,Oliynykova O.,Uchijima M.
20260307,Antalya 2 WTA,Hard,Kalinina A.,Kawa K.
20260307,Indian Wells,Hard,Eala A.,Yastremska D.
20260307,Trnava 2 ITF,Hard,Vandewinkel H.,Andreeva E.
20260307,Futures 2026,Hard,--:--,Yamazaki Y.
20260307,Futures 2026,Hard,--:--,Sagawa T.
20260307,UTR Pro Tennis Series 9,Hard,Boros B.,Belkovics A.
20260307,UTR Pro Tennis Series 9,Hard,Matsumura R.,Nakagawa N.
20260307,UTR Pro Tennis Series 9,Hard,Tanuma R.,Tashiro Y.
20260307,UTR Pro Tennis Series 9,Hard,Chikami S.,Ono C.
20260307,Futures 2026,Hard,Boyer T.,Hsu L.
20260307,Futures 2026,Hard,Mckenzie J.,Jovic M.
20260307,Futures 2026,Hard,--:--,Noguchi R.
20260307,Futures 2026,Hard,Littlejohn F.,Pai A.
20260307,Futures 2026,Hard,Murray A.,Pimenta J.
20260307,Futures 2026,Hard,--:--,Nakamura M.
20260307,Futures 2026,Hard,--:--,Sohda M.
20260307,Futures 2026,Hard,--:--,Huang J.
20260307,Futures 2026,Hard,--:--,Nukata K.
20260307,Futures 2026,Hard,--:--,Shinohara M.
20260307,Futures 2026,Hard,Emslie-Robson F.,Thapa Y.
20260307,Trnava 2 ITF,Hard,Snigur D.,Naef C.
20260307,Helsinki ITF,Hard,Gao X.,Vandromme J.
20260307,Helsinki ITF,Hard,Noha Akugue N.,Barthel M.
20260307,UTR Pro Tennis Series 9,Hard,Yoshida A.,Allen H.
20260307,UTR Pro Tennis Series 9,Hard,Nakashima M.,Shigeta M.
20260307,Hagetmau ITF,Hard,Encheva L.,Bartashevich Y.
20260307,Huamantla ITF,Hard,Tona M.,Iyengar M.
20260307,Huamantla ITF,Hard,Feistel G.,Reasco Gonzalez M.
20260307,Maanshan ITF,Hard,Wang J.,Snigireva A.
20260307,UTR Pro Tennis Series 9,Hard,Noguchi S.,Namigata J.
